// This demo file for replaying the sequence in the trailer
//
// Song :
// FUN from funkin is magic
//
// recorded at 120fps

NOP 120

// ================================
// badly played section
// ================================

PauseKey P 0
PauseKey R 24
NoteKeyRight1 P 716
NoteKeyRight1 R 9
NoteKeyDown1 P 8
NoteKeyDown1 R 13
NoteKeyRight1 P 13
NoteKeyRight1 R 14
NoteKeyLeft1 P 1
NoteKeyLeft1 R 8
NoteKeyLeft1 P 16
NoteKeyRight1 P 4
NoteKeyLeft1 R 10
NoteKeyRight1 R 1
NoteKeyDown1 P 8
NoteKeyUp1 P 10
NoteKeyDown1 R 4
NoteKeyUp1 R 9
NoteKeyRight1 P 0
NoteKeyRight1 R 11
NoteKeyDown1 P 31
NoteKeyLeft1 P 2
NoteKeyDown1 R 3
NoteKeyRight1 P 7
NoteKeyLeft1 R 9
NoteKeyRight1 R 5
NoteKeyLeft1 P 7
NoteKeyUp1 P 9
NoteKeyLeft1 R 6
NoteKeyDown1 P 2
NoteKeyUp1 R 5
NoteKeyDown1 R 9
NoteKeyRight1 P 2
NoteKeyLeft1 P 1
NoteKeyRight1 R 8
NoteKeyLeft1 R 7
NoteKeyLeft1 P 10
NoteKeyLeft1 R 14
NoteKeyRight1 P 0
NoteKeyRight1 R 7
NoteKeyLeft1 P 4
NoteKeyRight1 P 7
NoteKeyLeft1 R 9
NoteKeyRight1 R 0
NoteKeyRight1 P 16
NoteKeyRight1 R 10
NoteKeyLeft1 P 7
NoteKeyRight1 P 6
NoteKeyLeft1 R 1
NoteKeyLeft1 P 10
NoteKeyRight1 R 0
NoteKeyDown1 P 10
NoteKeyLeft1 R 5
NoteKeyUp1 P 3
NoteKeyDown1 R 3
NoteKeyUp1 R 10
NoteKeyRight1 P 20
NoteKeyRight1 R 8
NoteKeyLeft1 P 5
NoteKeyDown1 P 10
NoteKeyLeft1 R 2
NoteKeyUp1 P 11
NoteKeyDown1 R 1
NoteKeyUp1 R 11
NoteKeyDown1 P 30
NoteKeyRight1 P 8
NoteKeyDown1 R 5
NoteKeyRight1 R 4
NoteKeyLeft1 P 7
NoteKeyRight1 P 9
NoteKeyLeft1 R 6
NoteKeyDown1 P 7
NoteKeyRight1 R 0
NoteKeyLeft1 P 4
NoteKeyDown1 R 5
NoteKeyDown1 P 2
NoteKeyLeft1 R 4
NoteKeyUp1 P 3
NoteKeyDown1 R 4
NoteKeyUp1 R 8
NoteKeyRight1 P 9
NoteKeyDown1 P 10
NoteKeyRight1 R 0
NoteKeyLeft1 P 9
NoteKeyDown1 R 5
NoteKeyDown1 P 6
NoteKeyLeft1 R 4
NoteKeyUp1 P 0
NoteKeyDown1 R 12
NoteKeyUp1 R 13
PauseKey P 49
PauseKey R 21

// ================================
// show mistakes
// ================================

NoteScrollUpKey P 0
NoteScrollUpKey R 58
NoteScrollUpKey P 41
NoteScrollUpKey R 76
NoteScrollUpKey P 25
NoteScrollUpKey R 41
// NoteScrollUpKey P 34
// NoteScrollUpKey R 76
SongResetKey P 40
SongResetKey R 23

// ================================
// slow donws
// ================================

PauseKey P 0
PauseKey R 23
AudioSpeedDownKey P 105
AudioSpeedDownKey R 12
AudioSpeedDownKey P 57
AudioSpeedDownKey R 12
AudioSpeedDownKey P 62
AudioSpeedDownKey R 13
AudioSpeedDownKey P 35
AudioSpeedDownKey R 10
NoteKeyRight1 P 724
NoteKeyRight1 R 20
NoteKeyDown1 P 15
NoteKeyDown1 R 21
NoteKeyRight1 P 16
NoteKeyRight1 R 13
NoteKeyLeft1 P 23
NoteKeyLeft1 R 18
NoteKeyRight1 P 16
NoteKeyRight1 R 15
NoteKeyLeft1 P 4
NoteKeyDown1 P 16
NoteKeyLeft1 R 3
NoteKeyDown1 R 14
NoteKeyUp1 P 2
NoteKeyUp1 R 15
NoteKeyRight1 P 5
NoteKeyRight1 R 13
NoteKeyDown1 P 45
NoteKeyDown1 R 20
NoteKeyRight1 P 14
NoteKeyRight1 R 12
NoteKeyLeft1 P 7
NoteKeyLeft1 R 21
